response,response_label,channel,response_role,shock,horizon_months,sample_name,controls,nobs,sample_start,sample_end,raw_coefficient_per_unit_shock,raw_std_error_hac,coefficient,std_error_hac,t_stat,p_value,ci_90_low,ci_90_high,ci_95_low,ci_95_high,ci_68_low,ci_68_high,bootstrap_ci_90_low,bootstrap_ci_90_high,bootstrap_ci_68_low,bootstrap_ci_68_high,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_replications,bootstrap_method,ci_method,horizon_consistent_bandwidth,coefficient_10bp_equiv,std_error_10bp_equiv,shock_scale_raw_units,shock_normalization,optional_10bp_scaling_note,r_squared,hac_bandwidth,interpretation_layer
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,0,regime_covid,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",22,2020-03,2021-12,-0.0006132910478179533,0.0019576856659381885,-0.0014882804570814938,0.004750738377954005,-0.31327350375426266,0.7540728786481612,-0.009302549708756692,0.0063259887945937045,-0.010799556577843579,0.00782299566368059,-0.006212689688104969,0.0032361287739419813,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,-0.006132910478179533,0.019576856659381886,2.426711530156345,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.5155449015950302,1,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,1,regime_covid,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",21,2020-03,2021-11,0.0005549375284408832,0.002184475060315488,0.0013749034701564778,0.005412217027989301,0.25403701718651694,0.7994669603435416,-0.007527401338180242,0.010277208278493198,-0.009232846981216963,0.01198265392152992,-0.004007318418969544,0.006757125359282499,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,0.005549375284408832,0.021844750603154876,2.477582429898584,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.760207574790546,2,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,3,regime_covid,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",19,2020-03,2021-09,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,,,2.605523586959283,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,4,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,6,regime_covid,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",16,2020-03,2021-06,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,,,2.821338378337224,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,7,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,12,regime_covid,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",10,2020-03,2020-12,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,,,3.5013109923553807,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,13,reduced_form_dynamic_transmission
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,monthly,target_factor_monthly_easing,24,regime_covid,"L1_ln_ecb_assets_ea_stock,L2_ln_ecb_assets_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",0,,,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,,,,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,25,reduced_form_dynamic_transmission
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,0,regime_covid,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",22,2020-03,2021-12,0.012835904081122016,0.003466892218964365,0.03114903643363968,0.008413147321570141,3.702423747386175,0.00021354955423429753,0.01731064054767797,0.044987432319601395,0.014659570686732584,0.04763850218054678,0.022782515757099234,0.03951555711018013,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,0.12835904081122015,0.03466892218964365,2.426711530156345,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.7205554597550061,1,reduced_form_dynamic_transmission
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,1,regime_covid,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",21,2020-03,2021-11,0.01548225690224819,0.0026065757613401176,0.03835856767618619,0.0064580063084958,5.939691886910014,2.855582575644368e-09,0.027736092576781383,0.04898104277559099,0.025701107899601953,0.051016027452770424,0.03193635239288422,0.044780782959488154,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,0.1548225690224819,0.026065757613401176,2.477582429898584,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.7851381750039967,2,reduced_form_dynamic_transmission
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,3,regime_covid,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",19,2020-03,2021-09,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,,,2.605523586959283,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,4,reduced_form_dynamic_transmission
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,6,regime_covid,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",16,2020-03,2021-06,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,,,2.821338378337224,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,7,reduced_form_dynamic_transmission
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,12,regime_covid,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",10,2020-03,2020-12,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,,,3.5013109923553807,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,13,reduced_form_dynamic_transmission
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,24,regime_covid,"L1_ln_dax_real_de,L2_ln_dax_real_de,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",0,,,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,,,,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,25,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,0,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",22,2020-03,2021-12,0.00023979192086989322,0.0001285730345132146,0.0005819058192133078,0.00031200966532040757,1.8650249780427144,0.06217790313390575,6.869558956712051e-05,0.0010951160488594952,-2.962188764308693e-05,0.0011934335260697026,0.00027162534789779185,0.0008921862905288238,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,0.0023979192086989324,0.001285730345132146,2.426711530156345,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.2923530470037339,1,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,1,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",21,2020-03,2021-11,0.00038842521769526836,0.00024797420954926665,0.0009623554946913294,0.0006143765446472527,1.5663936116634638,0.11725649760094654,-4.820399308561735e-05,0.001972914982468276,-0.00024180040576345031,0.002166511395146109,0.0003513838966077001,0.0015733270927749585,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,0.0038842521769526838,0.0024797420954926663,2.477582429898584,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.5144243928752498,2,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,3,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",19,2020-03,2021-09,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,,,2.605523586959283,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,4,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,6,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",16,2020-03,2021-06,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,,,2.821338378337224,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,7,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,12,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",10,2020-03,2020-12,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,,,3.5013109923553807,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,13,reduced_form_dynamic_transmission
ln_hh_loans_ea_stock,household credit,financial_credit,monthly_fallback,target_factor_monthly_easing,24,regime_covid,"L1_ln_hh_loans_ea_stock,L2_ln_hh_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",0,,,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,,,,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,25,reduced_form_dynamic_transmission
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,0,regime_covid,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",22,2020-03,2021-12,-0.0011614970650645345,0.000843048291773094,-0.0028186183200348608,0.0020458350101243777,-1.3777349131704912,0.16828514783527568,-0.006183717456582245,0.0005464808165125236,-0.006828381258189777,0.0011911446181200559,-0.004853115073599553,-0.0007841215664701686,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,-0.011614970650645345,0.00843048291773094,2.426711530156345,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.6881632346413583,1,reduced_form_dynamic_transmission
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,1,regime_covid,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",21,2020-03,2021-11,-0.001554193375959177,0.00124463678178977,-0.0038506422009412207,0.003083690222167852,-1.2487123944097722,0.2117702858973642,-0.008922861247268803,0.0012215768453863619,-0.009894563975868527,0.0021932795739860863,-0.006917242251752876,-0.0007840421501295659,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,-0.015541933759591769,0.0124463678178977,2.477582429898584,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.7794945116114904,2,reduced_form_dynamic_transmission
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,3,regime_covid,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",19,2020-03,2021-09,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,,,2.605523586959283,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,4,reduced_form_dynamic_transmission
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,6,regime_covid,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",16,2020-03,2021-06,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,,,2.821338378337224,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,7,reduced_form_dynamic_transmission
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,12,regime_covid,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",10,2020-03,2020-12,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,13,,,3.5013109923553807,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,13,reduced_form_dynamic_transmission
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,24,regime_covid,"L1_ln_nfc_loans_ea_stock,L2_ln_nfc_loans_ea_stock,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",0,,,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,25,,,,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,25,reduced_form_dynamic_transmission
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,monthly,target_factor_monthly_easing,0,regime_covid,"L1_ecb_mir_mortgage_lending_rate,L2_ecb_mir_mortgage_lending_rate,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",22,2020-03,2021-12,0.0007354514447443975,0.0011220064336495343,0.0017847285008313716,0.002722785949446925,0.6554788124986103,0.512159523405163,-0.002693855843528911,0.006263312845191654,-0.0035518338976962974,0.00712129089935904,-0.0009229674508888749,0.004492424452551618,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,1,0.007354514447443975,0.011220064336495344,2.426711530156345,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.3006029841865019,1,reduced_form_dynamic_transmission
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,monthly,target_factor_monthly_easing,1,regime_covid,"L1_ecb_mir_mortgage_lending_rate,L2_ecb_mir_mortgage_lending_rate,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",21,2020-03,2021-11,-0.0034880596781552606,0.0011748810448657082,-0.008641955373035182,0.0029108646339801683,-2.968861991091153,0.002989048085707469,-0.013429901623802231,-0.0038540091222681334,-0.014347145219507678,-0.002936765526562686,-0.011536687655253234,-0.005747223090817132,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,2,-0.03488059678155261,0.011748810448657082,2.477582429898584,1_sd_surprise,10bp equivalent assumes factor units are basis points.,0.34191884486474555,2,reduced_form_dynamic_transmission
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,monthly,target_factor_monthly_easing,3,regime_covid,"L1_ecb_mir_mortgage_lending_rate,L2_ecb_mir_mortgage_lending_rate,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",19,2020-03,2021-09,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,4,,,2.605523586959283,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,4,reduced_form_dynamic_transmission
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,monthly,target_factor_monthly_easing,6,regime_covid,"L1_ecb_mir_mortgage_lending_rate,L2_ecb_mir_mortgage_lending_rate,L1_inflation_ea20_mom,L2_inflation_ea20_mom,L1_dfr_mavg,L2_dfr_mavg",16,2020-03,2021-06,,,,,,,,,,,,,,,,,,,0,not_run,HAC_Newey_West_horizon_bandwidth,7,,,2.821338378337224,1_sd_surprise,10bp equivalent assumes factor units are basis points.,,7,reduced_form_dynamic_transmission
