candidate_id,side,role,variable,label,decision,validation_score,economic_interpretability_score,monthly_continuity_score,missingness_score,volatility_realism_score,response_stability_score,persistence_score,target_concept_correlation_score,sensitivity_robustness_score,contamination_sensitivity_score,regime_consistency_score,conceptual_object,retained_limitations,decision_reason
comp_wage_tracker_ex_oneoffs,compensation,canonical,ecb_wage_tracker_ex_oneoffs_real_yoy,"ECB Wage Tracker excluding one-off payments, real",accepted_canonical,120,5,5,2,4,5,5,5,3,5,5,Monthly real negotiated wage pressure excluding one-off payments.,"It is negotiated wage pressure, not observed total compensation per employee, payroll income, welfare, or redistribution.",Best monthly compensation-side proxy for persistent real negotiated wage pressure; not actual compensation per employee.
comp_wage_tracker_ex_oneoffs_momentum,compensation,diagnostic,ecb_wage_tracker_ex_oneoffs_real_yoy_momentum_3m,"ECB Wage Tracker excluding one-offs, real 3-month momentum",accepted_diagnostic,90,4,5,2,4,4,4,2,3,1,3,Three-month change in real negotiated wage pressure excluding one-off payments.,Momentum is mechanically noisier than the level and is not used as the primary compensation proxy.,Momentum captures acceleration in real negotiated wage pressure and is useful for signal-timing checks.
comp_ces_real_income_expectations,compensation,diagnostic_short_sample,ecb_ces_real_income_expectations_12m_median,ECB CES real household income expectations,accepted_diagnostic_short_sample,82,3,5,1,4,0,0,5,5,2,5,Weighted median expected household income growth over the next 12 months minus HICP inflation.,Short public CES sample makes it unsuitable as a canonical long-window compensation proxy.,"Monthly household income-pressure expectations are observable, but the public aggregate sample starts late."
comp_ces_unemployment_expectations,compensation,diagnostic_short_sample,ecb_ces_unemployment_expectations_12m_median,ECB CES expected unemployment rate,accepted_diagnostic_short_sample,80,2,5,1,5,0,0,5,5,2,5,Weighted median expected unemployment rate over the next 12 months.,Short sample and expectation construct prevent canonical compensation use.,Monthly household labor-market expectations are useful as a short-window expectation diagnostic.
comp_employment_expectations,compensation,indirect,eurostat_ecfin_eei_ea20,European Commission employment expectations indicator,accepted_indirect,109,3,5,5,3,5,5,1,5,5,4,Monthly euro-area employment expectations indicator over the next three months.,Survey expectations are indirect wage-pressure evidence and can revise with seasonal adjustment.,Timely monthly expected-employment pressure proxy from harmonised business surveys.
comp_services_employment_expectations,compensation,indirect,eurostat_ecfin_services_employment_expectations_ea20,European Commission services employment expectations,accepted_indirect,109,3,5,5,3,5,5,1,5,5,4,Monthly euro-area services employment expectations balance.,"It captures expected services employment, not observed services wages.",Monthly services-sector employment expectations add a services wage-pressure timing proxy.
comp_unemployment_tightness,compensation,indirect,eurostat_labor_tightness_unemployment_inv,Eurostat unemployment inverse labor-tightness proxy,accepted_indirect,105,3,5,5,5,5,5,1,5,1,4,Negative of the monthly seasonally adjusted euro-area unemployment rate.,"Labor tightness is an indirect wage-pressure proxy, not compensation or wage growth.",True monthly labor-tightness proxy; higher transformed value means lower unemployment and tighter labor markets.
comp_sts_industry_wage_bill_de_real,compensation,robustness,eurostat_sts_industry_wage_bill_de_real_yoy,"Eurostat German industry wage bill, real annual growth",accepted_robustness,123,4,5,5,4,5,5,3,5,5,5,"Monthly gross wages and salaries index for German industry, deflated by German HICP annual inflation.","Sector/geography are narrow; the series measures wage bill, not compensation per employee.","True monthly wage-bill series; adds a hard observed payroll-cost proxy, but only for German industry."
comp_wage_tracker_headline,compensation,robustness,ecb_wage_tracker_headline_real_yoy,"ECB Wage Tracker headline, real",accepted_robustness,120,5,5,2,4,5,5,5,3,5,5,Monthly real negotiated wage pressure including smoothed one-off payments.,One-off treatment can mechanically change short-horizon wage dynamics.,Monthly negotiated wage signal including smoothed one-off payments; useful robustness around the canonical wage tracker.
comp_wage_tracker_ex_oneoffs_ma3,compensation,robustness,ecb_wage_tracker_ex_oneoffs_real_yoy_ma3,"ECB Wage Tracker excluding one-offs, real 3-month average",accepted_robustness,107,5,5,2,4,4,4,5,5,1,3,Three-month average of monthly real negotiated wage pressure excluding one-off payments.,Smoothing is transparent and only uses observed current/past monthly data; it is not a distinct source series.,Rolling real wage-pressure proxy smooths month-specific noise without fabricating observations.
comp_wage_tracker_unsmoothed,compensation,robustness,ecb_wage_tracker_unsmoothed_oneoffs_real_yoy,"ECB Wage Tracker with unsmoothed one-off payments, real",accepted_robustness,103,4,5,2,4,4,4,5,3,1,5,Monthly real negotiated wage pressure including unsmoothed one-off payments.,Noisier one-off payments reduce persistence interpretability.,"Real monthly wage tracker, but one-off payments make it a noisier compensation proxy."
comp_retail_volume,compensation,rejected,ln_retail_de_chained_index,German retail volume,rejected,114,1,5,5,5,4,4,5,5,5,5,Retail-volume real activity.,"It is not a wage, payroll, labor-income, or compensation construct.","Monthly real-activity/purchasing-power proxy, not a compensation or wage construct."
comp_compensation_per_employee_quarterly_observed,compensation,rejected,ln_compensation_ea20_real_q_observed,"Euro area real compensation per employee, quarter-end observed",rejected_nonmonthly,56,5,1,1,5,0,0,5,0,2,0,Quarterly observed real compensation per employee.,Sparse quarter-end observations are not a valid monthly compensation proxy without interpolation.,"Conceptually direct, but observed only at quarter-end; the monthly thesis layer does not interpolate it."
comp_wage_tracker_coverage,compensation,rejected,ecb_wage_tracker_coverage_pct,ECB Wage Tracker coverage,rejected_not_compensation,84,1,5,2,4,5,5,1,5,1,3,Share/coverage diagnostic for the ECB Wage Tracker.,Useful for revision and representativeness checks only.,"Coverage is a source-quality diagnostic, not a wage-pressure response variable."
housing_house_purchase_growth,housing,canonical,ecb_house_purchase_growth_yoy,"ECB lending for house purchase, annual growth",accepted_canonical,119,5,5,5,4,5,5,1,5,5,4,Monthly growth in MFI loans for house purchase; housing-finance transmission.,"It is a credit-growth proxy, not a direct affordability, price, rent, or welfare measure.","Direct monthly housing-finance series with full sample coverage; it proxies mortgage-credit transmission, not house prices themselves."
housing_house_purchase_new_loans,housing,robustness,ln_ecb_house_purchase_pure_new_loans,ECB pure new loans for house purchase,accepted_robustness,106,5,5,1,5,4,4,5,5,1,3,Monthly flow of pure new house-purchase loans; mortgage-origination transmission.,Short sample beginning in 2017 limits regime and pre-QE comparisons.,"Direct housing-finance flow, but available only from 2017-08 in the pulled ECB vintage."
housing_household_loans_stock,housing,fallback,ln_hh_loans_ea_stock,ECB adjusted loans to households,rejected_for_canonical,113,3,5,5,3,5,5,5,5,1,4,Broad household credit stock.,Too broad for the housing-finance comparison; retained only as a background credit variable in LP outputs.,"Monthly and continuous, but it covers all household loans rather than house-purchase credit specifically."
housing_house_price_quarterly_observed,housing,rejected,ln_house_price_de_real_q_observed,"German real house-price index, quarter-end observed",rejected_nonmonthly,56,5,1,1,5,0,0,5,0,2,0,Quarterly observed real house-price level.,Sparse quarter-end observations are not a valid monthly transmission proxy without interpolation.,"Conceptually direct, but observed only at quarter-end; the monthly thesis layer does not interpolate it."
