"variable","monthly_status","identification_role","notes"
"date","monthly_or_event_monthly","metadata",""
"month","monthly_or_event_monthly","metadata",""
"quarter","monthly_or_event_monthly","metadata",""
"lp_monthly_regime","monthly_or_event_monthly","metadata",""
"monthly_identification_sample","monthly_or_event_monthly","metadata",""
"baseline_sample_monthly","monthly_or_event_monthly","metadata",""
"full_sample_monthly","monthly_or_event_monthly","metadata",""
"is_quarter_end_month","monthly_or_event_monthly","metadata",""
"event_count","monthly_or_event_monthly","metadata",""
"missing_month_flag","monthly_or_event_monthly","metadata",""
"timing_factor_monthly_sum_zero","monthly_or_event_monthly","external_policy_surprise_candidate","No-event months set to zero within source coverage; post-source months are excluded from the canonical date range."
"target_factor_monthly_sum_zero","monthly_or_event_monthly","external_policy_surprise_candidate","No-event months set to zero within source coverage; post-source months are excluded from the canonical date range."
"fg_factor_monthly_sum_zero","monthly_or_event_monthly","external_policy_surprise_candidate","No-event months set to zero within source coverage; post-source months are excluded from the canonical date range."
"qe_factor_monthly_sum_zero","monthly_or_event_monthly","external_policy_surprise_candidate","No-event months set to zero within source coverage; post-source months are excluded from the canonical date range."
"weighted_composite_monthly_sum_zero","monthly_or_event_monthly","external_policy_surprise_candidate","No-event months set to zero within source coverage; post-source months are excluded from the canonical date range."
"timing_factor_monthly_easing","monthly_or_event_monthly","external_policy_surprise_candidate",""
"target_factor_monthly_easing","monthly_or_event_monthly","external_policy_surprise_candidate",""
"fg_factor_monthly_easing","monthly_or_event_monthly","external_policy_surprise_candidate",""
"qe_factor_monthly_easing","monthly_or_event_monthly","external_policy_surprise_candidate",""
"weighted_composite_monthly_easing","monthly_or_event_monthly","external_policy_surprise_candidate",""
"wx_shadow_rate","monthly_or_event_monthly","monthly_model_candidate",""
"d_wx_shadow_rate","monthly_or_event_monthly","monthly_model_candidate",""
"dfr_eop","monthly_or_event_monthly","metadata",""
"d_dfr_eop","monthly_or_event_monthly","monthly_model_candidate",""
"dfr_mavg","monthly_or_event_monthly","metadata",""
"d_dfr_mavg","monthly_or_event_monthly","monthly_model_candidate",""
"ecb_assets_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"ecb_assets_ea_mavg","monthly_or_event_monthly","monthly_model_candidate",""
"ln_ecb_assets_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"ln_ecb_assets_ea_mavg","monthly_or_event_monthly","monthly_model_candidate",""
"d_ecb_assets_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
